raceId,driverId,grid,positionOrder,pit_sec,pos_change,lap,year,pit_group
843,20,1.0,2,21.995,-1.0,14,2011,early
843,20,1.0,2,21.533,-1.0,31,2011,mid
843,17,18.0,3,23.442,15.0,10,2011,early
843,17,18.0,3,21.132,15.0,25,2011,mid
843,17,18.0,3,21.091,15.0,40,2011,mid
843,18,2.0,4,23.779,-2.0,14,2011,early
843,18,2.0,4,20.758,-2.0,24,2011,mid
843,18,2.0,4,21.237,-2.0,37,2011,mid
843,3,4.0,5,20.771,-1.0,12,2011,early
843,3,4.0,5,22.005,-1.0,25,2011,mid
843,3,4.0,5,20.72,-1.0,39,2011,mid
843,13,6.0,6,21.624,0.0,15,2011,early
843,13,6.0,6,21.168,0.0,33,2011,mid
843,4,5.0,7,22.524,-2.0,16,2011,early
843,4,5.0,7,21.251,-2.0,32,2011,mid
843,30,14.0,8,20.522,6.0,10,2011,early
843,30,14.0,8,21.964,6.0,26,2011,mid
843,30,14.0,8,21.4,6.0,39,2011,mid
843,808,10.0,9,21.981,1.0,17,2011,early
843,808,10.0,9,22.005,1.0,37,2011,mid
843,155,13.0,10,21.855,3.0,14,2011,early
843,155,13.0,10,21.936,3.0,30,2011,mid
843,814,8.0,11,21.989,-3.0,11,2011,early
843,814,8.0,11,21.218,-3.0,32,2011,mid
843,2,16.0,12,22.216,4.0,18,2011,early
843,2,16.0,12,21.821,4.0,30,2011,mid
843,22,15.0,13,21.709,2.0,16,2011,early
843,22,15.0,13,21.481,2.0,35,2011,mid
843,67,9.0,14,22.01,-5.0,12,2011,early
843,67,9.0,14,24.722,-5.0,16,2011,early
843,67,9.0,14,21.928,-5.0,33,2011,mid
843,16,11.0,15,20.989,-4.0,15,2011,early
843,16,11.0,15,21.058,-4.0,30,2011,mid
843,16,11.0,15,28.708,-4.0,47,2011,late
843,5,19.0,16,22.485,3.0,19,2011,early
843,5,19.0,16,21.89,3.0,40,2011,mid
843,815,12.0,17,21.473,-5.0,16,2011,early
843,815,12.0,17,23.397,-5.0,36,2011,mid
843,815,12.0,17,13.9,-5.0,48,2011,late
843,815,12.0,17,28.845,-5.0,50,2011,late
843,813,17.0,18,23.16,-1.0,10,2011,early
843,813,17.0,18,22.062,-1.0,25,2011,mid
843,813,17.0,18,27.62,-1.0,40,2011,mid
843,15,20.0,19,23.029,1.0,20,2011,early
843,15,20.0,19,22.26,1.0,42,2011,late
843,816,21.0,20,22.901,1.0,20,2011,early
843,816,21.0,20,22.802,1.0,34,2011,mid
843,10,22.0,21,22.683,1.0,16,2011,early
843,10,22.0,21,21.908,1.0,28,2011,mid
843,10,22.0,21,33.827,1.0,39,2011,mid
843,24,23.0,22,14.16,1.0,9,2011,early
843,24,23.0,22,24.467,1.0,21,2011,mid
843,24,23.0,22,23.499,1.0,45,2011,late
843,39,24.0,23,26.049,1.0,23,2011,mid
843,153,7.0,24,22.419,-17.0,9,2011,early
844,20,1.0,1,20.623,0.0,11,2011,early
844,20,1.0,1,20.112,0.0,25,2011,mid
844,20,1.0,1,20.385,0.0,40,2011,mid
844,20,1.0,1,20.489,0.0,47,2011,late
844,17,2.0,2,21.05,0.0,10,2011,early
844,17,2.0,2,20.421,0.0,21,2011,mid
844,17,2.0,2,20.843,0.0,35,2011,mid
844,17,2.0,2,22.087,0.0,45,2011,late
844,4,5.0,3,21.308,2.0,10,2011,early
844,4,5.0,3,21.732,2.0,23,2011,mid
844,4,5.0,3,21.702,2.0,36,2011,mid
844,4,5.0,3,21.379,2.0,46,2011,late
844,1,4.0,4,20.833,0.0,9,2011,early
844,1,4.0,4,21.075,0.0,20,2011,early
844,1,4.0,4,35.688,0.0,34,2011,mid
844,1,4.0,4,22.041,0.0,46,2011,late
844,3,3.0,5,22.573,-2.0,10,2011,early
844,3,3.0,5,20.927,-2.0,22,2011,mid
844,3,3.0,5,20.949,-2.0,33,2011,mid
844,3,3.0,5,20.308,-2.0,44,2011,late
844,18,6.0,6,21.368,0.0,13,2011,early
844,18,6.0,6,22.639,0.0,26,2011,mid
844,18,6.0,6,21.417,0.0,39,2011,mid
844,2,9.0,7,22.3,2.0,10,2011,early
844,2,9.0,7,21.919,2.0,22,2011,mid
